______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/404: Loss: 0.63 | Accuracy: 0.88
[Training] Itteration/Batch:  25/404: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  50/404: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch:  75/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 125/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 150/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 175/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 200/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 225/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 250/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 275/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 300/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 325/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 350/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 375/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 400/404: Loss: 0.00 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 1.0 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 1.0 |             Val Accuracy Majority 1.0 | Val Accuracy Individual 1.0 | Training Loss:0.016799654811620712 |             Val Loss 0.000614078133367002 | Train Runtime Millis 36891.28465199974 | Val Runtime Millis 7320.248265000373

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  25/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  50/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  75/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 125/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 150/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 175/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 200/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 225/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 250/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 275/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 300/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 325/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 350/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 375/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 400/404: Loss: 0.00 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 1.0 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 1.0 |             Val Accuracy Majority 1.0 | Val Accuracy Individual 1.0 | Training Loss:0.0005240527098067105 |             Val Loss 0.00033288070699200034 | Train Runtime Millis 36432.92050299988 | Val Runtime Millis 7370.755715000087

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  25/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  50/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  75/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 125/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 150/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 175/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 200/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 225/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 250/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 275/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 300/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 325/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 350/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 375/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 400/404: Loss: 0.00 | Accuracy: 1.00

Epoch 3: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 1.0 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 1.0 |             Val Accuracy Majority 1.0 | Val Accuracy Individual 1.0 | Training Loss:0.0003181898791808635 |             Val Loss 0.00023089336173143238 | Train Runtime Millis 36407.52155999962 | Val Runtime Millis 7456.978998000523

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  25/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  50/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  75/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 125/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 150/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 175/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 200/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 225/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 250/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 275/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 300/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 325/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 350/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 375/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 400/404: Loss: 0.00 | Accuracy: 1.00

Epoch 4: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 1.0 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 1.0 |             Val Accuracy Majority 1.0 | Val Accuracy Individual 1.0 | Training Loss:0.00022978679044172168 |             Val Loss 0.00017717892478685826 | Train Runtime Millis 36442.24439400023 | Val Runtime Millis 7327.034969999659

______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  25/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  50/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch:  75/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 125/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 150/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 175/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 200/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 225/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 250/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 275/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 300/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 325/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 350/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 375/404: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 400/404: Loss: 0.00 | Accuracy: 1.00

Epoch 5: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 1.0 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 1.0 |             Val Accuracy Majority 1.0 | Val Accuracy Individual 1.0 | Training Loss:0.0001796777214622125 |             Val Loss 0.00014457930228672922 | Train Runtime Millis 36415.42606799976 | Val Runtime Millis 7355.395605999547

